22302636,05/08/2018,107412676109                            ,017745,044755,00  ,548.10          ,S  ,P  
22302636,05/08/2018,107412676752                            ,017746,441346,00  ,4204.66         ,S  ,P  
22418350,05/08/2018,107412804069                            ,454578,080916,00  ,100.00          ,S  ,P  
22302636,05/08/2018,107412676710                            ,017748,019598,00  ,1049.00         ,S  ,P  
22418350,05/08/2018,107412806795                            ,454579,086137,00  ,100.00          ,S  ,P  
22418350,05/08/2018,107412583976                            ,454431,004331,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412556624                            ,017543,992785,00  ,250.00          ,S  ,P  
22302636,05/08/2018,107412676113                            ,017749,500318,00  ,250.00          ,S  ,P  
22418350,05/08/2018,107412807447                            ,454580,086764,00  ,220.00          ,S  ,P  
22418350,05/08/2018,107412808575                            ,454581,006410,00  ,62.00           ,S  ,P  
22302636,05/08/2018,107412677711                            ,017752,019796,00  ,199.00          ,S  ,P  
22418350,05/08/2018,107412813121                            ,454582,097796,00  ,300.00          ,S  ,P  
22302636,05/08/2018,107412676952                            ,017751,019872,00  ,120.00          ,S  ,P  
22302636,05/08/2018,107412677088                            ,017750,097056,00  ,450.00          ,S  ,P  
22418350,05/08/2018,107412815611                            ,454583,001760,00  ,150.00          ,S  ,P  
22418350,05/08/2018,107412816231                            ,454584,036677,00  ,222.00          ,S  ,P  
22302636,05/08/2018,107412679584                            ,017760,500640,00  ,9544.00         ,S  ,P  
22418350,05/08/2018,107412818805                            ,454585,007295,00  ,102.00          ,S  ,P  
22302636,05/08/2018,107412679349                            ,017759,097257,00  ,2514.09         ,S  ,P  
22418350,05/08/2018,107412819508                            ,454586,135134,00  ,181.00          ,S  ,P  
22302636,05/08/2018,107412680922                            ,017761,045344,00  ,2550.00         ,S  ,P  
22418350,05/08/2018,107412829709                            ,454587,003716,00  ,350.00          ,S  ,P  
22302636,05/08/2018,107412681974                            ,017763,021266,00  ,579.00          ,S  ,P  
22418350,05/08/2018,107412835114                            ,454589,041035,00  ,399.00          ,S  ,P  
22302636,05/08/2018,107412683808                            ,017766,101740,00  ,1598.00         ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ247                            ,567145,501223,00  ,1851.00         ,S  ,P  
22418350,05/08/2018,107412838135                            ,454591,385761,00  ,399.00          ,S  ,P  
22418350,05/08/2018,107412585449                            ,454434,082796,00  ,120.00          ,S  ,P  
