IGAECGGRF9^81.00^04/08/18 20:08:59 PM^107412420471^Success^AIPL_AVENIPL
IGAECGGRG0^399.00^04/08/18 20:08:00 PM^107412419697^Success^AIPL_AVENIPL
IGAECGGRG6^111.00^04/08/18 20:08:01 PM^107412420197^Success^AIPL_AVENIPL
IGAECGGXC5^340.00^04/08/18 20:08:01 PM^107412419744^Success^AIPL_AVENIPL
IGAECGGRH0^2092.00^04/08/18 20:08:02 PM^107412420282^Success^AIPL_AVENIPL
IGAECGGRH1^3549.00^04/08/18 20:08:02 PM^107412417858^Success^AIPL_AVENIPL
CH87334763^250.78^04/08/18 20:08:03 PM^107412420110^Success^AIPL_AVENIPL
IGAECGGUP1^399.00^04/08/18 20:08:03 PM^107412419461^Success^AIPL_AVENIPL
IGAECGGRH4^1737.00^04/08/18 20:08:04 PM^107412417279^Success^AIPL_RGICL
IGAECGGRH6^7.75^04/08/18 20:08:05 PM^107412420342^Success^AIPL_AVENIPL
IGAECGGUQ5^27.00^04/08/18 20:08:07 PM^CCAFH1FJF575^Success^AIPL_AVENIPL
IGAECGGRI3^111.00^04/08/18 20:08:07 PM^107412420025^Success^AIPL_AVENIPL
IGAECGGXF0^1.00^04/08/18 20:08:08 PM^107412420171^Success^AIPL_AVENIPL
IGAECGGXF2^4614.00^04/08/18 20:08:08 PM^CCAFH2BBA860^Success^AIPL_CLEPRLI
IGAECGGUT1^111.00^04/08/18 20:08:12 PM^107412420598^Success^AIPL_AVENIPL
IGAECGGXI8^201.00^04/08/18 20:08:17 PM^CCAFH1FJF572^Success^AIPL_AVENIPL
IGAECGGXK0^1775.00^04/08/18 20:08:19 PM^107412420580^Success^AIPL_YAONPLT
IGAECGGRN6^31.00^04/08/18 20:08:21 PM^107412419824^Success^AIPL_AVENIPL
IGAECGGUW6^1213.00^04/08/18 20:08:23 PM^107412420325^Success^AIPL_AVENIPL
IGAECGGUY2^100.00^04/08/18 20:08:26 PM^107412420685^Success^AIPL_AVENIPL
IGAECGGXN9^2200.00^04/08/18 20:08:27 PM^107412420645^Success^AIPL_AVENIPL
IGAECGGUZ4^156.00^04/08/18 20:08:30 PM^107412420230^Success^AIPL_MPENPA
IGAECGGVA3^670.00^04/08/18 20:08:34 PM^107412420498^Success^AIPL_AVENIPL
IGAECGGVA4^99.00^04/08/18 20:08:34 PM^CCAFH1CMK854^Success^AIPL_JASINPL
IGAECGGVB1^16.00^04/08/18 20:08:36 PM^107412420813^Success^AIPL_AVENIPL
IGAECGGVC6^100.00^04/08/18 20:08:39 PM^107412420817^Success^AIPL_AVENIPL
IGAECGGXQ8^26.00^04/08/18 20:08:39 PM^107412420826^Success^AIPL_AVENIPL
CH87335075^1478.00^04/08/18 20:08:43 PM^107412420621^Success^AIPL_AVENIPL
IGAECGGVE9^200.00^04/08/18 20:08:44 PM^107412420768^Success^AIPL_AVENIPL
IGAECGGXS3^500.00^04/08/18 20:08:45 PM^107412420776^Success^AIPL_ONMOSPL
IGAECGGXS1^50.00^04/08/18 20:08:45 PM^107412420678^Success^AIPL_AVENIPL
IGAECGGVF7^111.00^04/08/18 20:08:46 PM^107412420929^Success^AIPL_AVENIPL
IGAECGGXT3^111.00^04/08/18 20:08:47 PM^107412420692^Success^AIPL_AVENIPL
IGAECGGVG0^2751.00^04/08/18 20:08:47 PM^CCAFH2AAA617^Success^AIPL_PRIMABG
IGAECGGXU0^1647.00^04/08/18 20:08:49 PM^107412420686^Success^AIPL_AVENIPL
IGAECGGVH0^1111.00^04/08/18 20:08:51 PM^107412420849^Success^AIPL_AVENIPL
IGAECGGRY0^206.00^04/08/18 20:08:52 PM^107412420521^Success^AIPL_AVENIPL
IGAECGGXV0^94.00^04/08/18 20:08:53 PM^107412420232^Success^AIPL_AVENIPL
IGAECGGXW0^240.90^04/08/18 20:08:54 PM^107412420673^Success^AIPL_ONMOSPL
IGAECGGVJ0^1111.00^04/08/18 20:08:54 PM^107412421019^Success^AIPL_AVENIPL
IGAECGGVJ1^111.00^04/08/18 20:08:54 PM^107412420969^Success^AIPL_AVENIPL
IGAECGGVJ4^111.00^04/08/18 20:08:55 PM^107412421088^Success^AIPL_AVENIPL
IGAECGGVL1^50.00^04/08/18 20:08:59 PM^107412421097^Success^AIPL_AVENIPL
IGAECGGVN8^111.00^04/08/18 20:08:03 PM^107412420913^Success^AIPL_AVENIPL
IGAECGGSD2^111.00^04/08/18 20:08:05 PM^107412421211^Success^AIPL_AVENIPL
IGAECGGYA6^111.00^04/08/18 20:08:07 PM^107412420781^Success^AIPL_AVENIPL
IGAECGGVQ0^137.00^04/08/18 20:08:07 PM^107412421054^Success^AIPL_YAONPLT
IGAECGGYA8^149.00^04/08/18 20:08:08 PM^107412419025^Success^AIPL_AVENIPL
IGAECGGVR0^25.27^04/08/18 20:08:08 PM^107412420990^Success^AIPL_AVENIPL
IGAECGGSE3^528.00^04/08/18 20:08:09 PM^107412419812^Success^AIPL_AVENIPL
IGAECGGSF1^28348.00^04/08/18 20:08:10 PM^CCAFH2BBA861^Success^AIPL_CLEPRLI
IGAECGGSF3^1111.00^04/08/18 20:08:10 PM^107412421158^Success^AIPL_AVENIPL
IGAECGGSG0^7838.00^04/08/18 20:08:12 PM^CCAFH1BBA862^Success^AIPL_CLEPRLI
IGAECGGVT0^679.32^04/08/18 20:08:12 PM^107412419605^Success^AIPL_AVENIPL
IGAECGGSG7^280.00^04/08/18 20:08:13 PM^107412420941^Success^AIPL_ONMOSPL
IGAECGGVU8^3.60^04/08/18 20:08:16 PM^107412421077^Success^AIPL_AVENIPL
IGAECGGYD3^149.00^04/08/18 20:08:16 PM^107412419908^Success^AIPL_AVENIPL
IGAECGGSI4^26.00^04/08/18 20:08:16 PM^107412421207^Success^AIPL_AVENIPL
IGAECGGVW1^349.00^04/08/18 20:08:18 PM^107412420255^Success^AIPL_AVENIPL
IGAECGGYF7^111.00^04/08/18 20:08:22 PM^107412421294^Success^AIPL_AVENIPL
IGAECGGWB4^349.00^04/08/18 20:08:26 PM^107412418533^Success^AIPL_AVENIPL
IGAECGGWB2^111.00^04/08/18 20:08:26 PM^107412421300^Success^AIPL_AVENIPL
IGAECGGWC8^400.00^04/08/18 20:08:28 PM^107412419232^Success^AIPL_AVENIPL
IGAECGGYH4^375.00^04/08/18 20:08:28 PM^107412420544^Success^AIPL_AVENIPL
IGAECGGSN5^323.00^04/08/18 20:08:29 PM^107412421192^Success^AIPL_BHTATLL
IGAECGGWE5^204.25^04/08/18 20:08:31 PM^107412420138^Success^AIPL_AVENIPL
IGAECGGYJ7^111.00^04/08/18 20:08:33 PM^107412421310^Success^AIPL_AVENIPL
IGAECGGYL2^206.19^04/08/18 20:08:36 PM^107412419672^Success^AIPL_COSECES
IGAECGGWH2^111.00^04/08/18 20:08:37 PM^107412421061^Success^AIPL_AVENIPL
IGAECGGWH7^187.86^04/08/18 20:08:38 PM^CCAFH2AQT390^Success^AIPL_GODAIDA
IGAECGGYL9^200.00^04/08/18 20:08:38 PM^107412421319^Success^AIPL_AVENIPL
IGAECGGYM1^1111.00^04/08/18 20:08:39 PM^107412421236^Success^AIPL_AVENIPL
IGAECGGWI7^2300.00^04/08/18 20:08:40 PM^107412420829^Success^AIPL_AVENIPL
IGAECGGWI9^100.00^04/08/18 20:08:41 PM^107412421308^Success^AIPL_AVENIPL
IGAECGGWJ4^111.00^04/08/18 20:08:42 PM^107412421417^Success^AIPL_AVENIPL
IGAECGHAK9^1.00^04/08/18 20:08:42 PM^107412421370^Success^AIPL_ONMOSPL
IGAECGHAL6^111.00^04/08/18 20:08:44 PM^107412421216^Success^AIPL_AVENIPL
IGAECGGWK9^349.00^04/08/18 20:08:46 PM^107412420797^Success^AIPL_AVENIPL
IGAECGHAM5^2.00^04/08/18 20:08:47 PM^107412421052^Success^AIPL_AVENIPL
IGAECGGYP3^111.00^04/08/18 20:08:47 PM^107412421509^Success^AIPL_AVENIPL
IGAECGHAM8^4.00^04/08/18 20:08:48 PM^107412421546^Success^AIPL_AVENIPL
IGAECGGWM5^1105.00^04/08/18 20:08:49 PM^107412419147^Success^AIPL_AVENIPL
IGAECGGWM6^111.00^04/08/18 20:08:49 PM^107412421503^Success^AIPL_AVENIPL
IGAECGGYQ7^952.00^04/08/18 20:08:51 PM^107412420910^Success^AIPL_AVENIPL
IGAECGHEH0^3354.00^04/08/18 20:08:53 PM^CCAFH2BBA865^Success^AIPL_CLEPRLI
IGAECGHAP1^500.00^04/08/18 20:08:54 PM^107412421065^Success^AIPL_AVENIPL
IGAECGHEI9^300.00^04/08/18 20:08:56 PM^107412421461^Success^AIPL_AVENIPL
IGAECGHEJ5^250.00^04/08/18 20:08:58 PM^107412421336^Success^AIPL_AVENIPL
IGAECGGYT9^99.00^04/08/18 20:08:58 PM^107412421213^Success^AIPL_AVENIPL
IGAECGHAQ6^111.00^04/08/18 20:08:59 PM^107412421532^Success^AIPL_AVENIPL
IGAECGHEK1^3333.00^04/08/18 20:08:59 PM^107412421154^Success^AIPL_AVENIPL
IGAECGGYU9^349.00^04/08/18 20:08:01 PM^107412421273^Success^AIPL_AVENIPL
IGAECGHEL6^428.00^04/08/18 20:08:01 PM^CCAFH1CMK856^Success^AIPL_JASINPL
IGAECGHAS2^21.00^04/08/18 20:08:01 PM^107412421741^Success^AIPL_AVENIPL
IGAECGGYV4^58753.00^04/08/18 20:08:02 PM^CCAFH1BBA866^Success^AIPL_CLEPRLI
IGAECGHAS5^111.00^04/08/18 20:08:02 PM^107412421616^Success^AIPL_AVENIPL
IGAECGHAS9^40.00^04/08/18 20:08:03 PM^CCAFH2FJF576^Success^AIPL_AVENIPL
IGAECGHEN6^111.00^04/08/18 20:08:06 PM^107412421670^Success^AIPL_AVENIPL
IGAECGHEO8^5023.00^04/08/18 20:08:08 PM^CCAFH2CMK857^Success^AIPL_JASINPL
IGAECGHEP9^23.00^04/08/18 20:08:10 PM^107412421731^Success^AIPL_AVENIPL
IGAECGHEQ8^12894.00^04/08/18 20:08:11 PM^107412418424^Success^AIPL_YAONPLT
IGAECGHEQ7^19.00^04/08/18 20:08:11 PM^107412421763^Success^AIPL_AVENIPL
IGAECGHEQ5^413.75^04/08/18 20:08:11 PM^107412421485^Success^AIPL_AVENIPL
IGAECGHAX4^1111.00^04/08/18 20:08:11 PM^107412421515^Success^AIPL_AVENIPL
IGAECGHAY6^111.00^04/08/18 20:08:13 PM^107412421664^Success^AIPL_AVENIPL
IGAECGGYZ0^1111.00^04/08/18 20:08:14 PM^107412421787^Success^AIPL_AVENIPL
IGAECGHES4^247.00^04/08/18 20:08:15 PM^107412421811^Success^AIPL_AVENIPL
IGAECGGYZ6^1.00^04/08/18 20:08:16 PM^107412421668^Success^AIPL_AVENIPL
IGAECGHBA4^450.00^04/08/18 20:08:17 PM^107412421343^Success^AIPL_AVENIPL
IGAECGGZA1^298.00^04/08/18 20:08:17 PM^107412421357^Success^AIPL_AVENIPL
IGAECGHEU0^111.00^04/08/18 20:08:18 PM^107412421416^Success^AIPL_AVENIPL
IGAECGGZA7^950.00^04/08/18 20:08:18 PM^107412421438^Success^AIPL_AVENIPL
IGAECGHET8^5.67^04/08/18 20:08:18 PM^107412421548^Success^AIPL_AVENIPL
IGAECGHBB5^15.66^04/08/18 20:08:20 PM^107412421874^Success^AIPL_AVENIPL
IGAECGHBB6^240.00^04/08/18 20:08:20 PM^107412421807^Success^AIPL_JRITECH
IGAECGHEU8^27.00^04/08/18 20:08:20 PM^107412420870^Success^AIPL_AVENIPL
IGAECGGZC0^215.00^04/08/18 20:08:20 PM^107412420968^Success^AIPL_AVENIPL
IGAECGHBC2^24.50^04/08/18 20:08:22 PM^107412421483^Success^AIPL_AVENIPL
IGAECGHBC9^590000.00^04/08/18 20:08:24 PM^107412421208^Success^AIPL_HIPECOL
IGAECGGZD3^26.00^04/08/18 20:08:24 PM^107412421959^Success^AIPL_AVENIPL
IGAECGHBD0^26.00^04/08/18 20:08:24 PM^107412421820^Success^AIPL_AVENIPL
IGAECGHEX0^2680.00^04/08/18 20:08:26 PM^CCAFH1BBA868^Success^AIPL_CLEPRLI
IGAECGHEX6^111.00^04/08/18 20:08:27 PM^107412421707^Success^AIPL_AVENIPL
IGAECGGZF4^5.00^04/08/18 20:08:31 PM^107412421949^Success^AIPL_AVENIPL
IGAECGHBG4^3333.00^04/08/18 20:08:35 PM^107412421385^Success^AIPL_AVENIPL
IGAECGHFB2^22.00^04/08/18 20:08:36 PM^107412421043^Success^AIPL_AVENIPL
IGAECGGZI5^111.00^04/08/18 20:08:37 PM^107412421344^Success^AIPL_AVENIPL
IGAECGHBH9^4893.00^04/08/18 20:08:37 PM^107412420712^Success^AIPL_ITGATLD
IGAECGGZJ3^525.00^04/08/18 20:08:39 PM^107412422090^Success^AIPL_AVENIPL
IGAECGHBI9^3.00^04/08/18 20:08:39 PM^107412421953^Success^AIPL_AVENIPL
IGAECGGZJ9^13.00^04/08/18 20:08:40 PM^107412421883^Success^AIPL_AVENIPL
IGAECGHFD1^23.00^04/08/18 20:08:41 PM^107412421966^Success^AIPL_AVENIPL
IGAECGGZL4^725.00^04/08/18 20:08:44 PM^107412421492^Success^AIPL_AVENIPL
IGAECGGZL0^349.00^04/08/18 20:08:44 PM^107412420923^Success^AIPL_AVENIPL
IGAECGGZM3^364.62^04/08/18 20:08:48 PM^107412421536^Success^AIPL_AVENIPL
IGAECGHBO4^1137.00^04/08/18 20:08:49 PM^107412421824^Success^AIPL_YAONPLT
IGAECGHBP9^1500.00^04/08/18 20:08:51 PM^107412421335^Success^AIPL_ONMOSPL
IGAECGHBQ4^2865.00^04/08/18 20:08:52 PM^107412421272^Success^AIPL_ITGATLD
IGAECGGZN4^1111.00^04/08/18 20:08:52 PM^107412422057^Success^AIPL_AVENIPL
IGAECGHBQ6^1111.00^04/08/18 20:08:52 PM^107412422122^Success^AIPL_AVENIPL
IGAECGGZO2^7563.00^04/08/18 20:08:53 PM^CCAFH1BBA869^Success^AIPL_CLEPRLI
IGAECGHFH9^9.00^04/08/18 20:08:54 PM^107412422226^Success^AIPL_AVENIPL
IGAECGHBR5^349.00^04/08/18 20:08:54 PM^107412421162^Success^AIPL_AVENIPL
IGAECGHBS8^5202.00^04/08/18 20:08:56 PM^107412421726^Success^AIPL_AVENIPL
IGAECGGZP6^5.00^04/08/18 20:08:57 PM^107412421895^Success^AIPL_ONMOSPL
IGAECGHBU1^179.00^04/08/18 20:08:58 PM^107412421035^Success^AIPL_AVENIPL
IGAECGHBU3^7616.00^04/08/18 20:08:59 PM^107412422021^Success^AIPL_MHATORD
IGAECGHBV1^149.00^04/08/18 20:08:00 PM^107412421597^Success^AIPL_AVENIPL
IGAECGHBV0^155.00^04/08/18 20:08:00 PM^107412422276^Success^AIPL_AVENIPL
IGAECGHFL4^10751.00^04/08/18 20:08:01 PM^107412421984^Success^AIPL_ITGATLD
IGAECGHFL3^2.00^04/08/18 20:08:01 PM^107412421927^Success^AIPL_AVENIPL
